model,type,capability,connectivities,apps,power_supplies
TCL 6-Series Roku TV,Smart TV,Unconstrained,Wi-Fi,Google Home; Amazon Alexa,Plug
Apple iPad Pro,Tablet,Unconstrained,Wi-Fi; Bluetooth; 3G; 4G; 5G,,Battery; Plug
Samsung Galaxy Tab S8,Tablet,Unconstrained,Wi-Fi; Bluetooth; 3G; 4G,,Battery; Plug
Microsoft Surface Pro 8,Tablet,Unconstrained,Wi-Fi; Bluetooth,,Battery; Plug
Lenovo Tab P11 Pro,Tablet,Unconstrained,Wi-Fi; Bluetooth,,Battery; Plug
Amazon Fire HD 10,Tablet,Unconstrained,Wi-Fi; Bluetooth,,Battery; Plug
Apple Watch Series 7,Smartwatch,Unconstrained,Wi-Fi; Bluetooth,,Battery
Samsung Galaxy Watch 4,Smartwatch,Unconstrained,Wi-Fi; Bluetooth,,Battery
Garmin Forerunner 945,Smartwatch,Unconstrained,Wi-Fi; Bluetooth,,Battery
Fitbit Sense,Smartwatch,Unconstrained,Wi-Fi; Bluetooth,,Battery
Fossil Gen 5,Smartwatch,Unconstrained,Wi-Fi; Bluetooth,,Battery
Amazon Echo Dot,Home Assistant Hub,Unconstrained,Wi-Fi; Bluetooth,Amazon Alexa,Plug
Google Nest Mini,Home Assistant Hub,Unconstrained,Wi-Fi; Bluetooth,Google Home,Plug
Apple HomePod,Home Assistant Hub,Unconstrained,Wi-Fi,Apple HomeKit,Plug
Lenovo Smart Clock,Home Assistant Hub,Unconstrained,Wi-Fi; Bluetooth,Google Home,Plug
JBL Link View,Home Assistant Hub,Unconstrained,Wi-Fi; Bluetooth,Google Home,Plug
August Wi-Fi Smart Lock,Smart Lock,Class 2,Wi-Fi,August Home,Cell
Schlage Encode Smart WiFi Deadbolt,Smart Lock,Class 2,Wi-Fi,Schlage Home,Cell
Yale Assure Lock,Smart Lock,Class 2,Wi-Fi,Yale Access,Cell
Kwikset Halo Touch,Smart Lock,Class 2,Wi-Fi,Kwikset,Cell
Ultraloq U-Bolt Pro,Smart Lock,Class 2,Wi-Fi; Bluetooth,Google Home; Amazon Alexa; Ultraloq,Cell
Sense Energy Monitor,Smart Energy Management Device,Class 2,Wi-Fi,Google Home; Amazon Alexa; Sense,Plug
Smappee Infinity,Smart Energy Management Device,Class 2,Wi-Fi; Ethernet,Google Home; Amazon Alexa; Smappee,Plug
Neurio Home Energy Monitor,Smart Energy Management Device,Class 2,Wi-Fi,Google Home; IFTTT; Neurio,Plug
CURB Energy Monitoring System,Smart Energy Management Device,Class 2,Wi-Fi,SmartThings; IFTTT; CURB,Plug
Emporia Vue,Smart Energy Management Device,Class 2,Wi-Fi,Google Home; Amazon Alexa; Emporia,Plug
Samsung Galaxy S23,Smartphone,Unconstrained,Wi-Fi; Bluetooth; 3G; 4G; 5G,,Battery; Plug
Google Pixel 7,Smartphone,Unconstrained,Wi-Fi; Bluetooth; 3G; 4G; 5G,,Battery; Plug
OnePlus 10 Pro,Smartphone,Unconstrained,Wi-Fi; Bluetooth; 3G; 4G; 5G,,Battery; Plug
Xiaomi Mi 12,Smartphone,Unconstrained,Wi-Fi; Bluetooth; 3G; 4G; 5G,,Battery; Plug
Dell XPS 15,Personal Computer,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Battery; Plug
Apple MacBook Pro,Personal Computer,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Battery; Plug
HP Spectre x360,Personal Computer,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Battery; Plug
Lenovo ThinkPad X1 Carbon,Personal Computer,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Battery; Plug
Asus ROG Zephyrus G14,Personal Computer,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Battery; Plug
Synology DiskStation DS220,Network Attached Storage (NAS),Unconstrained,Ethernet,,Plug
QNAP TS-251D,Network Attached Storage (NAS),Unconstrained,Ethernet,,Plug
Western Digital My Cloud EX2,Network Attached Storage (NAS),Unconstrained,Ethernet,,Plug
Asustor AS5202T,Network Attached Storage (NAS),Unconstrained,Ethernet,,Plug
WD My Cloud Home,Network Attached Storage (NAS),Unconstrained,Wi-Fi; Ethernet,,Plug
Abode iota All-in-One Security Kit,Smart Security Hub,Unconstrained,Wi-Fi; Ethernet,Google Home; Amazon Alexa; IFTTT; Abode,Plug
Ring Alarm Security Kit,Smart Security Hub,Unconstrained,Wi-Fi,Amazon Alexa; IFTTT; Ring,Plug
SimpliSafe Home Security,Smart Security Hub,Unconstrained,Wi-Fi,Google Home; Amazon Alexa; Apple HomeKit; SimpliSafe,Plug
Nest Secure System,Smart Security Hub,Unconstrained,Wi-Fi,Google Home; Nest,Plug
ADT Command Panel,Smart Security Hub,Unconstrained,Wi-Fi,ADT Control,Plug
D-Link DGS-1210,Switch,Class 2,Ethernet,,Plug
HP Aruba 2930F,Switch,Class 2,Ethernet,,Plug
Linksys LGS116P,Switch,Class 2,Ethernet,,Plug
Zyxel GS1900,Switch,Class 2,Ethernet,,Plug
MikroTik CRS328,Switch,Class 2,Ethernet,,Plug
Huawei AR2200,Router,Unconstrained,Wi-Fi; Ethernet,,Plug
Asus RT-AX88U,Router,Unconstrained,Wi-Fi; Ethernet,,Plug
Netgear Nighthawk AX12,Router,Unconstrained,Wi-Fi; Ethernet,,Plug
TP-Link Archer AX6000,Router,Unconstrained,Wi-Fi; Ethernet,,Plug
Linksys Velop MX10,Router,Unconstrained,Wi-Fi; Ethernet,,Plug
TP-Link TL-WR802N,Bridge,Class 2,Wi-Fi; Ethernet,,Plug
Linksys WET610N,Bridge,Class 2,Wi-Fi; Ethernet,,Plug
D-Link DAP-1522,Bridge,Class 2,Wi-Fi; Ethernet,,Plug
Asus EA-N66,Bridge,Class 2,Wi-Fi; Ethernet,,Plug
Ubiquiti NanoStation M5,Bridge,Class 2,Wi-Fi; Ethernet,,Plug
Tenda A18,Repeater,Class 2,Wi-Fi; Ethernet,,Plug
Ubiquiti AmpliFi,Repeater,Class 2,Wi-Fi; Ethernet,,Plug
Zyxel WRE2206,Repeater,Class 2,Wi-Fi; Ethernet,,Plug
Cisco RE1000,Repeater,Class 2,Wi-Fi; Ethernet,,Plug
EnGenius ERB9250,Repeater,Class 2,Wi-Fi; Ethernet,,Plug
TP-Link TL-WR841N,Modern,Unconstrained,Wi-Fi; Ethernet,,Plug
Buffalo AirStation WHR-G54S,Modern,Unconstrained,Wi-Fi; Ethernet,,Plug
ZyXEL NBG-418N,Modern,Unconstrained,Wi-Fi; Ethernet,,Plug
SMC Barricade SMC7004AWBR,Modern,Unconstrained,Wi-Fi; Ethernet,,Plug
ASUS RT-N16,Modern,Unconstrained,Wi-Fi; Ethernet,,Plug
TP-Link TL-ER6020,Gateway,Unconstrained,Ethernet,,Plug
D-Link DSR-250,Gateway,Unconstrained,Ethernet,,Plug
Peplink Balance 20,Gateway,Unconstrained,Ethernet,,Plug
Linksys LRT214,Gateway,Unconstrained,Ethernet,,Plug
HPE MSR1003-8S,Gateway,Unconstrained,Ethernet,,Plug
Sophos XG 115w,Firewall,Unconstrained,Wi-Fi; Ethernet,,Plug
SonicWall TZ300,Firewall,Unconstrained,Ethernet,,Plug
Check Point 3200,Firewall,Unconstrained,Ethernet,,Plug
Juniper SRX1500,Firewall,Unconstrained,Ethernet,,Plug
WatchGuard T35-W,Firewall,Unconstrained,Wi-Fi; Ethernet,,Plug
Wyze Sense,Low-End Sensor,Class 1,ZigBee,IFTTT; Wyze,Battery
Everspring Flood Sensor,Low-End Sensor,Class 1,Z-Wave,SmartThings; Vera; Home Assistant,Cell
Dome Home Automation Water Sensor,Low-End Sensor,Class 1,Z-Wave,SmartThings; Vera; Home Assistant,Cell
Centralite Micro Door Sensor,Low-End Sensor,Class 1,ZigBee,SmartThings; Hubitat Elevation; Wink,Cell
LeakSmart Sensor,Low-End Sensor,Class 1,ZigBee,SmartThings; Hubitat Elevation; Wink; LeakSmart,Cell
First Alert Onelink Safe  Sound,High-End Sensor,Class 2,Wi-Fi,Google Home; Amazon Alexa; Apple HomeKit; Onelink Home,Plug
Foobot Indoor Air Quality Monitor,High-End Sensor,Class 2,Wi-Fi,Google Home; Amazon Alexa; IFTTT; Foobot,Plug
Awair Element,High-End Sensor,Class 2,Wi-Fi,Google Home; Amazon Alexa; Awair,Plug
Kidde Carbon Monoxide Detector,High-End Sensor,Class 2,Wi-Fi,SmartThings; Google Home; Amazon Alexa; Wink,Cell
Airthings Wave Plus,High-End Sensor,Class 2,Bluetooth; ZigBee,Google Home; Amazon Alexa; Airthings,Cell
Cree Connected LED,Smart Bulb,Class 2,ZigBee,SmartThings; Google Home; Amazon Alexa; Wink,Plug
GE Cync Smart LED,Smart Bulb,Class 2,Wi-Fi,Google Home; Amazon Alexa; Cync,Plug
Nanoleaf Essentials A19,Smart Bulb,Class 2,Bluetooth,Google Home; Apple HomeKit; Nanoleaf,Plug
Feit Electric Smart LED,Smart Bulb,Class 2,Wi-Fi,Google Home; Amazon Alexa; Feit Electric,Plug
Yeelight Smart LED Bulb,Smart Bulb,Class 2,Wi-Fi,Google Home; Amazon Alexa; Yeelight; Mi Home,Plug
D-Link DSP-W320,Smart Energy Management Device,Class 2,Wi-Fi,Google Home; Amazon Alexa; MyDlink,Plug
TP-Link Kasa Strip,Smart Energy Management Device,Class 2,Wi-Fi,Google Home; Amazon Alexa; Kasa Smart,Plug
Eve Energy Strip,Smart Energy Management Device,Class 2,Bluetooth,Apple HomeKit; Eve,Plug
Belkin WeMo,Smart Energy Management Device,Class 2,Wi-Fi,Google Home; Amazon Alexa; IFTTT; Apple HomeKit; WeMo,Plug
Schneider Electric Wiser,Smart Energy Management Device,Class 2,Wi-Fi,Google Home; Amazon Alexa; Wiser Energy; Sense,Plug
Nest x Yale Lock,Smart Lock,Class 2,Wi-Fi,Google Home; Amazon Alexa; Nest,Cell
Level Bolt Lock,Smart Lock,Class 2,Bluetooth,Amazon Alexa; Apple HomeKit; Level,Cell
Lockly Secure Pro,Smart Lock,Class 2,Wi-Fi; Bluetooth,Google Home; Amazon Alexa; Lockly,Cell
Wyze Lock,Smart Lock,Class 2,Wi-Fi; Bluetooth,Google Home; Amazon Alexa; Wyze,Cell
Danalock V3,Smart Lock,Class 2,Bluetooth; Z-Wave,Google Home; Amazon Alexa; Danalock,Cell
Scout Alarm,Smart Security Alarm,Class 2,Wi-Fi; Z-Wave; ZigBee,Google Home; Amazon Alexa; IFTTT; Scout,Cell
Vivint Security System,Smart Security Alarm,Class 2,Wi-Fi; Z-Wave,Google Home; Amazon Alexa; Vivint,Cell
Frontpoint Safe Home,Smart Security Alarm,Class 2,Wi-Fi,Google Home; Amazon Alexa; Frontpoint,Cell
Brinks Home Security,Smart Security Alarm,Class 2,Wi-Fi,Google Home; Amazon Alexa; Brinks,Cell
Cove Smart Home Security,Smart Security Alarm,Class 2,Wi-Fi,Google Home; Amazon Alexa; Cove,Cell
Logitech Circle View,Smart Security IP Camera,Class 2,Wi-Fi,Apple HomeKit; Logitech Circle View,Plug
EufyCam 2,Smart Security IP Camera,Class 2,Wi-Fi,Google Home; Amazon Alexa; Apple HomeKit; Eufy Security,Battery
Reolink Argus 3 Pro,Smart Security IP Camera,Class 2,Wi-Fi,Google Home; Amazon Alexa; Reolink,Battery
Amcrest 4MP,Smart Security IP Camera,Class 2,Wi-Fi,Google Home; Amazon Alexa; Amcrest View,Plug
D-Link DCS-8525LH,Smart Security IP Camera,Class 2,Wi-Fi,Google Home; Amazon Alexa; IFTTT; MyDlink,Plug
Miele Smart Dishwasher,Smart Appliance,Class 2,Wi-Fi,Google Home; Amazon Alexa; Miele,Plug
Electrolux Smart Washer,Smart Appliance,Class 2,Wi-Fi,Google Home; Amazon Alexa; Electrolux,Plug
LG ThinQ Smart Dryer,Smart Appliance,Class 2,Wi-Fi,Google Home; Amazon Alexa; LG SmartThinQ,Plug
Samsung FlexWash Washer,Smart Appliance,Class 2,Wi-Fi,SmartThings; Google Home; Amazon Alexa,Plug
KitchenAid Smart Oven,Smart Appliance,Class 2,Wi-Fi,Google Home; Amazon Alexa; KitchenAid,Plug
Hisense H8G Quantum,Smart TV,Unconstrained,Wi-Fi; Ethernet,Google Home; Amazon Alexa,Plug
Philips 4K UHD Android TV,Smart TV,Unconstrained,Wi-Fi; Ethernet,Google Home; Amazon Alexa,Plug
Panasonic HX800,Smart TV,Unconstrained,Wi-Fi; Ethernet,Google Home; Amazon Alexa,Plug
Toshiba Fire TV Edition,Smart TV,Unconstrained,Wi-Fi; Ethernet,Google Home; Amazon Alexa,Plug
Skyworth Q20300,Smart TV,Unconstrained,Wi-Fi; Ethernet,Google Home; Amazon Alexa,Plug
iPhone 14,Smartphone,Unconstrained,Wi-Fi; Bluetooth; 3G; 4G; 5G,,Battery; Plug
Samsung Galaxy S23,Smartphone,Unconstrained,Wi-Fi; Bluetooth; 3G; 4G; 5G,,Battery; Plug
Google Pixel 7 Pro,Smartphone,Unconstrained,Wi-Fi; Bluetooth; 3G; 4G; 5G,,Battery; Plug
Huawei P50 Pro,Smartphone,Unconstrained,Wi-Fi; Bluetooth; 3G; 4G; 5G,,Battery; Plug
Vivo X80 Pro+,Smartphone,Unconstrained,Wi-Fi; Bluetooth; 3G; 4G; 5G,,Battery; Plug
Huawei MatePad Pro,Tablet,Unconstrained,Wi-Fi; Bluetooth,,Battery; Plug
Asus ZenPad 3S,Tablet,Unconstrained,Wi-Fi; Bluetooth,,Battery; Plug
Google Pixel Slate,Tablet,Unconstrained,Wi-Fi; Bluetooth,,Battery; Plug
Dell Latitude 7220,Tablet,Unconstrained,Wi-Fi; Bluetooth,,Battery; Plug
Acer Chromebook Tab 10,Tablet,Unconstrained,Wi-Fi; Bluetooth,,Battery; Plug
Microsoft Surface Laptop 4,Personal Computer,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Battery; Plug
Acer Predator Helios 300,Personal Computer,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Battery; Plug
Razer Blade 15,Personal Computer,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Battery; Plug
MSI GS66 Stealth,Personal Computer,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Battery; Plug
LG Gram 17,Personal Computer,Unconstrained,Wi-Fi; Bluetooth; Ethernet,,Battery; Plug
Suunto 7,Smartwatch,Unconstrained,Wi-Fi; Bluetooth,,Battery
Huawei Watch GT 3,Smartwatch,Unconstrained,Bluetooth,,Battery
Amazfit GTS 2,Smartwatch,Unconstrained,Bluetooth,,Battery
Withings Steel HR,Smartwatch,Unconstrained,Bluetooth,,Battery
TicWatch Pro 3,Smartwatch,Unconstrained,Wi-Fi; Bluetooth,,Battery
Samsung SmartThings Hub V3,Home Assistant Hub,Unconstrained,Wi-Fi; Z-Wave; ZigBee,SmartThings; Google Home; Amazon Alexa,Plug
Amazon Echo Show 10,Home Assistant Hub,Unconstrained,Wi-Fi; Bluetooth; ZigBee,Amazon Alexa,Plug
Google Nest Hub Max,Home Assistant Hub,Unconstrained,Wi-Fi,Google Home,Plug
Apple HomePod Mini,Home Assistant Hub,Unconstrained,Wi-Fi; Bluetooth,Apple HomeKit,Plug
Aeotec Smart Home Hub,Home Assistant Hub,Unconstrained,Wi-Fi; Z-Wave,Google Home; Amazon Alexa; Aeotec,Plug
ADT Pulse,Smart Security Hub,Unconstrained,Wi-Fi; Z-Wave,ADT Control,Plug
VeraEdge,Smart Security Hub,Unconstrained,Z-Wave,Vera,Plug
Insteon Hub,Smart Security Hub,Unconstrained,Z-Wave,Insteon,Plug
Wink Hub 2,Smart Security Hub,Unconstrained,Wi-Fi; Z-Wave; ZigBee,Wink,Plug
Wink Hub 1,Smart Security Hub,Unconstrained,Wi-Fi; Z-Wave; ZigBee,Wink,Plug
Buffalo LinkStation 520,Network Attached Storage (NAS),Unconstrained,Ethernet,,Plug
Netgear ReadyNAS RN422,Network Attached Storage (NAS),Unconstrained,Ethernet,,Plug
TerraMaster F2-221,Network Attached Storage (NAS),Unconstrained,Ethernet; Dedicated Wiring,,Plug
Drobo 5N2,Network Attached Storage (NAS),Unconstrained,Ethernet,,Plug
Zyxel NAS326,Network Attached Storage (NAS),Unconstrained,Ethernet; Dedicated Wiring,,Plug
Huawei S5720-52X-SI-AC,Switch,Class 2,Ethernet,,Plug
Trendnet TEG-S24DG,Switch,Class 2,Ethernet,,Plug
Avaya ERS 3500,Switch,Class 2,Ethernet,,Plug
Mellanox SX1410,Switch,Class 2,Ethernet,,Plug
Allied Telesis AT-GS950,Switch,Class 2,Ethernet,,Plug
Asus ROG Rapture GT-AX11000,Router,Unconstrained,Ethernet,,Plug
Netgear Orbi RBK50,Router,Unconstrained,Ethernet,,Plug
TP-Link Archer A7,Router,Unconstrained,Wi-Fi; Ethernet,,Plug
D-Link DIR-3060,Router,Unconstrained,Ethernet,,Plug
Eero Pro 6,Router,Unconstrained,Ethernet,,Plug
TP-Link TL-WA901ND,Bridge,Class 2,Wi-Fi; Ethernet,,Plug
Linksys WES610N,Bridge,Class 2,Wi-Fi; Ethernet,,Plug
Netgear WAC104,Bridge,Unconstrained,Wi-Fi; Ethernet,,Plug
EnGenius ENH202,Bridge,Class 2,Wi-Fi; Ethernet,,Plug
TP-Link TL-WA801ND,Bridge,Class 2,Wi-Fi,,Plug
Amped Wireless REC22P,Repeater,Class 2,Wi-Fi; Ethernet,,Plug
Belkin F9K1106,Repeater,Class 2,Wi-Fi; Ethernet,,Plug
Edimax EW-7438AC,Repeater,Class 2,Ethernet,,Plug
Huawei WS322,Repeater,Class 2,Wi-Fi; Ethernet,,Plug
TRENDnet TEW-800MB,Repeater,Class 2,Wi-Fi; Ethernet,,Plug
TRENDnet TEW-432BRP,Modern,Unconstrained,Wi-Fi; Ethernet,,Plug
Motorola SBG900,Modern,Unconstrained,Wi-Fi; Ethernet,,Plug
SRobotics Wireless MAXg Router USR5461,Modern,Unconstrained,Wi-Fi; Ethernet,,Plug
Linksys BEFW11S4,Modern,Unconstrained,Wi-Fi; Ethernet,,Plug
Netgear DG834G,Modern,Unconstrained,Wi-Fi; Ethernet,,Plug
Huawei AR1220,Gateway,Unconstrained,Ethernet,,Plug
Cisco ASR 1001-X,Gateway,Unconstrained,Ethernet,,Plug
HPE MSR3000,Gateway,Unconstrained,Ethernet,,Plug
Ubiquiti EdgeRouter Infinity,Gateway,Unconstrained,Ethernet,,Plug
MikroTik Cloud Core Router CCR1009-7G-1C-1S+,Gateway,Unconstrained,Ethernet,,Plug
Huawei USG6300,Firewall,Unconstrained,Ethernet,,Plug
Meraki MX64,Firewall,Unconstrained,Ethernet,,Plug
Sophos SG 125,Firewall,Unconstrained,Ethernet,,Plug
Zyxel ZyWALL 110,Firewall,Unconstrained,Ethernet,,Plug
Smoothwall S10,Firewall,Unconstrained,Ethernet,,Plug
Ecobee Room Sensor,Low-End Sensor,Class 1,Wi-Fi,Amazon Alexa; Ecobee,Cell
Honeywell Lyric W1,Low-End Sensor,Class 1,Wi-Fi,Honeywell Home,Plug
Netatmo Weather Station,Low-End Sensor,Class 1,Wi-Fi,Netatmo,Cell
D-Link DCH-S161,Low-End Sensor,Class 1,Wi-Fi,MyDlink,Battery
Aeotec TriSensor,Low-End Sensor,Class 1,Wi-Fi; Z-Wave,Aeotec,Cell
Birdi Smoke Detector,High-End Sensor,Class 2,Wi-Fi,Birdi,Battery
Xfinity Home Sensor,High-End Sensor,Class 2,Wi-Fi; ZigBee,Xfinity,Cell
SmartThings Multipurpose Sensor,High-End Sensor,Class 2,ZigBee,SmartThings,Cell
Eve Motion,High-End Sensor,Class 2,Bluetooth,Apple HomeKit; Eve,Cell
Minut Smart Home Sensor,High-End Sensor,Class 2,Wi-Fi,Minut,Cell
Aigostar Mesh,Smart Bulb,Class 2,Bluetooth,Google Home; Amazon Alexa,Plug
Eufy Lumos Smart Bulb,Smart Bulb,Class 2,Wi-Fi,Google Home; Amazon Alexa; EufyHome,Plug
TP-Link Tapo L530E,Smart Bulb,Class 2,Wi-Fi,Google Home; Amazon Alexa; Tapo,Plug
Aigostar G45,Smart Bulb,Class 2,Wi-Fi,Google Home; Amazon Alexa,Plug
Aigostar GU10,Smart Bulb,Class 2,Wi-Fi,Google Home; Amazon Alexa,Plug
Rainforest Automation EAGLE-200,Smart Energy Management Device,Class 2,Wi-Fi,Google Home; Amazon Alexa; Rainforest Cloud,Plug
TED Pro Home Energy Monitor,Smart Energy Management Device,Class 2,ZigBee,TED Pro Home; TED Mobile; TED Commander,Plug
Samsung SmartThings Energy,Smart Energy Management Device,Class 2,Wi-Fi; ZigBee,SmartThings,Plug
Efergy Elite Classic 3.0,Smart Energy Management Device,Class 2,Wi-Fi; ZigBee,Efergy,Plug
Aeotec Home Energy Meter,Smart Energy Management Device,Class 2,Z-Wave,SmartThings; Home Assistant; Aeotec,Plug
Nuki Smart Lock Pro,Smart Lock,Class 2,Wi-Fi; Bluetooth,Google Home; Amazon Alexa; Apple HomeKit; Nuki,Cell
Samsung SHP-A30,Smart Lock,Class 2,Wi-Fi; ZigBee,SmartThings,Cell
Friday Home Smart Lock,Smart Lock,Class 2,Wi-Fi; Bluetooth,Friday Home,Cell
SimpliSafe Smart Lock,Smart Lock,Class 2,Wi-Fi,SimpliSafe,Cell
